k,s,total_time_seconds,best_log_likelihood,peak_vram_mb,P00,P01,P10,P11,full_fit,gradient_gpu,init_cpu_gpu,mcmc_cpu,optimizer_gpu,peak_vram_mb,transfer_pcie,warm_up_mcmc_cpu
5,2,16.566600561141968,-164.9305892944336,0.03125,0.9998999834060669,0.7465969920158386,0.5326921343803406,0.07322769612073898,16.562917470932007,3.316185712814331,0.003492116928100586,12.748758316040039,0.09450197219848633,0.03125,0.2982594966888428,0.01338052749633789
5,3,15.656855821609497,-165.91480255126953,0.03125,0.9998999834060669,0.5443422198295593,0.6150462031364441,0.11405181884765625,15.653252124786377,3.5866498947143555,0.0034165382385253906,11.592877626419067,0.09645485877990723,0.03125,0.284318208694458,0.011919498443603516
6,1,7.8618950843811035,-28.21049270629883,0.03125,0.9998999834060669,0.41084766387939453,0.4661635756492615,9.999999747378752e-05,7.860499858856201,3.3666625022888184,0.0011947154998779297,3.999446153640747,0.09595656394958496,0.03125,0.2998952865600586,0.00476384162902832
6,2,7.504677057266235,-16.996335601806642,0.03125,0.8573701977729797,0.8947802782058716,0.5945684313774109,9.999999747378752e-05,7.500991106033325,3.1704354286193848,0.0034935474395751953,3.8384103775024414,0.09680891036987305,0.03125,0.30924105644226074,0.004693508148193359
6,3,8.158780336380005,-34.5005615234375,0.03125,0.8523560762405396,0.4532472789287567,0.4794086217880249,0.050564587116241455,8.154537200927734,3.38187575340271,0.0040242671966552734,4.2720947265625,0.09675025939941406,0.03125,0.3049280643463135,0.004189252853393555
7,1,18.311762809753418,-267.3840759277344,0.03125,0.9531261324882507,0.6458237171173096,0.46438512206077576,0.03634897992014885,18.307425498962402,3.8180835247039795,0.0041027069091796875,14.001556396484375,0.09684514999389648,0.03125,0.2906460762023926,0.014755010604858398
7,2,18.32165217399597,-266.8862030029297,0.03125,0.9998999834060669,0.6469893455505371,0.4192063510417938,0.05293368548154831,18.318925142288208,3.8220608234405518,0.0025238990783691406,14.021143198013306,0.09798669815063477,0.03125,0.28420042991638184,0.014448404312133789
7,3,18.363763332366943,-242.32864990234376,0.03125,0.9543793797492981,0.6652891635894775,0.4850482642650604,0.03464706242084503,18.359931468963623,3.817215919494629,0.0036296844482421875,14.088739395141602,0.09848380088806152,0.03125,0.2663114070892334,0.014855623245239258
8,1,17.193867206573486,-3471.342919921875,0.0830078125,0.97809898853302,0.6131685972213745,0.5878919363021851,0.18607963621616364,17.185746431350708,4.250053405761719,0.007905721664428711,12.468758344650269,0.09837031364440918,0.0830078125,0.27977943420410156,0.01244044303894043
8,2,16.953967332839966,-3413.035791015625,0.0830078125,0.9665476083755493,0.621372640132904,0.5912356376647949,0.15938930213451385,16.94652509689331,4.245375633239746,0.007250308990478516,12.240522146224976,0.09711670875549316,0.0830078125,0.2722513675689697,0.012226343154907227
8,3,17.1246178150177,-3398.977197265625,0.0830078125,0.9692801833152771,0.6220765113830566,0.589130163192749,0.16769103705883026,17.116615295410156,4.246689319610596,0.0077936649322509766,12.39698076248169,0.0966639518737793,0.0830078125,0.28405022621154785,0.012245893478393555
9,1,21.137075901031494,-8955.21943359375,0.15771484375,0.9599863886833191,0.6143139004707336,0.5910256505012512,0.1922260820865631,21.123217582702637,4.457876682281494,0.013667583465576172,16.22120428085327,0.09693574905395508,0.15771484375,0.25818943977355957,0.016284465789794922
9,2,21.719624280929565,-8866.11123046875,0.16015625,0.9706970453262329,0.6209782361984253,0.5879040360450745,0.17836499214172363,21.706368684768677,4.442467212677002,0.01305532455444336,16.82623600959778,0.09665250778198242,0.16015625,0.25252556800842285,0.016726255416870117
9,3,21.492053747177124,-8923.586328125,0.16015625,0.9732915759086609,0.6179372668266296,0.5848121643066406,0.1861783117055893,21.478729009628296,4.441026449203491,0.013119697570800781,16.595827341079712,0.09678030014038086,0.16015625,0.2569763660430908,0.016858577728271484
10,1,28.73209261894226,-22758.909375,0.3359375,0.9747290015220642,0.6132160425186157,0.5881286859512329,0.19375094771385193,28.704548597335815,4.668839931488037,0.027355670928955078,23.586899757385254,0.09739923477172852,0.3359375,0.25640201568603516,0.024055004119873047
10,2,28.313735485076904,-22750.4591796875,0.3359375,0.9698405265808105,0.617422878742218,0.5809924602508545,0.19533950090408325,28.286593437194824,4.670313358306885,0.02695322036743164,23.176819562911987,0.0978236198425293,0.3359375,0.25227880477905273,0.0235595703125
10,3,28.51516103744507,-22736.2353515625,0.3359375,0.9687423706054688,0.6172347068786621,0.582278847694397,0.1943529099225998,28.48866844177246,4.672706604003906,0.0262906551361084,23.37036943435669,0.09792542457580566,0.3359375,0.25708770751953125,0.023508071899414062
11,1,42.236000299453735,-57485.254296875,0.7412109375,0.9789063930511475,0.5983355641365051,0.5369569659233093,0.20266669988632202,42.06288003921509,4.913168907165527,0.17293000221252441,36.638144731521606,0.09921550750732422,0.7412109375,0.29584383964538574,0.038378000259399414
11,2,41.854597330093384,-57736.3984375,0.7412109375,0.9752564430236816,0.59967041015625,0.5366577506065369,0.2053985595703125,41.80024194717407,4.908377170562744,0.054155826568603516,36.3568902015686,0.09928560256958008,0.7412109375,0.3085751533508301,0.03766202926635742
11,3,41.70729637145996,-57664.055078125,0.7412109375,0.9804700613021851,0.5871720314025879,0.5346587896347046,0.2068558633327484,41.64936447143555,4.902463912963867,0.057733774185180664,36.239580392837524,0.09914541244506836,0.7412109375,0.2919435501098633,0.03781270980834961
12,1,60.93044662475586,-143418.8828125,1.68701171875,0.9827460050582886,0.594632625579834,0.5366992950439453,0.20392730832099915,60.79874563217163,5.087181329727173,0.1314706802368164,55.206870794296265,0.10030245780944824,1.68701171875,0.27399516105651855,0.05864238739013672
12,2,60.0193555355072,-144370.3046875,1.689453125,0.9777835607528687,0.5915449857711792,0.5339756011962891,0.20721501111984253,59.88951325416565,5.117557764053345,0.12964296340942383,54.26074719429016,0.10041642189025879,1.689453125,0.2817089557647705,0.0581204891204834
12,3,59.99799108505249,-144509.5,1.689453125,0.9772279858589172,0.5967904329299927,0.5359542965888977,0.2082616686820984,59.866907596588135,5.155162334442139,0.13088703155517578,54.19456911087036,0.1017141342163086,1.689453125,0.2877800464630127,0.0574495792388916
13,1,87.19466733932495,-355101.33125,3.8505859375,0.990379810333252,0.58399498462677,0.5250126719474792,0.21264825761318207,86.71203446388245,5.444877862930298,0.48240232467651367,80.68292784690857,0.10164952278137207,3.8505859375,0.3183901309967041,0.0872352123260498
13,2,87.26002907752991,-355314.584375,3.8505859375,0.9859256148338318,0.588325023651123,0.5272350907325745,0.21102109551429749,86.96057438850403,5.547431707382202,0.299224853515625,80.81184983253479,0.10046648979187012,3.8505859375,0.33825039863586426,0.08660030364990234
13,3,88.28708171844482,-354810.45,3.8505859375,0.990035891532898,0.5842128396034241,0.5249453783035278,0.21161088347434998,87.80757093429565,5.536499738693237,0.47928833961486816,81.68328475952148,0.10064435005187988,3.8505859375,0.3224310874938965,0.08847165107727051
