k,sample,time,best_ll,theta_0,theta_1,theta_2,theta_3
3,26,81.66,-21.5301,0.9999,0.3431,0.3627,0.4696
3,27,52.86,-12.4339,0.9999,0.5654,0.4251,0.0001
3,28,72.24,-25.3805,0.9346,0.6851,0.4869,0.1817
3,29,79.05,-19.1579,0.6727,0.4049,0.4288,0.3302
3,30,41.66,-17.7089,0.9999,0.4381,0.5433,0.0596
4,1,51.13,-61.0342,0.9948,0.6556,0.4956,0.0904
4,2,86.83,-63.7591,0.9991,0.473,0.3943,0.3102
4,3,83.92,-62.1253,0.8775,0.4581,0.432,0.3413
4,4,60.48,-62.924,0.9999,0.6037,0.5511,0.1306
4,5,77.59,-36.82,0.9999,0.37,0.4505,0.1011
4,6,80.37,-57.1285,0.9999,0.4958,0.4458,0.1968
4,7,71.66,-58.9396,0.9999,0.544,0.5204,0.1637
4,8,28.82,-45.0107,0.6331,0.6919,0.7507,0.0143
4,9,49.44,-49.3476,0.8813,0.5206,0.5513,0.0827
4,10,55.42,-55.4913,0.9596,0.4765,0.5692,0.1213
4,11,71.61,-58.4318,0.9999,0.5214,0.537,0.1381
4,12,47.45,-46.3903,0.9999,0.4545,0.5646,0.0554
4,13,47.84,-46.3875,0.9823,0.5828,0.4657,0.0435
4,14,58.93,-48.8641,0.9999,0.4436,0.509,0.1459
4,15,68.26,-49.2487,0.9999,0.5819,0.3803,0.1021
4,16,54.61,-51.9603,0.9999,0.5761,0.5347,0.0974
4,17,48.17,-40.8911,0.9061,0.4648,0.467,0.0935
4,18,87.14,-61.5297,0.9999,0.522,0.4184,0.2325
4,19,62.04,-50.3129,0.9999,0.5369,0.4732,0.1084
4,20,67.14,-47.1489,0.9999,0.4453,0.4423,0.1358
4,21,66.17,-44.4228,0.9999,0.4739,0.4392,0.1209
4,22,42.22,-30.0767,0.9999,0.4831,0.4166,0.0001
4,23,76.65,-56.7126,0.9999,0.5579,0.4804,0.1315
4,24,33.53,-51.836,0.9005,0.6662,0.6826,0.023
