k,sample,time,theta_0,theta_1,theta_2,theta_3
7,6,235.05491137504578,0.9998999834060669,0.5224233865737915,0.5761018991470337,0.1090594232082367
7,7,237.45275211334229,0.9142088890075684,0.5665078163146973,0.5999333262443542,0.033102620393037796
7,8,235.40818881988525,0.9818004965782166,0.49659422039985657,0.5432637333869934,0.07684028148651123
7,9,237.4758815765381,0.974163293838501,0.5677255988121033,0.5825028419494629,0.0740436464548111
7,10,238.8366858959198,0.9443916082382202,0.5497608780860901,0.5629020929336548,0.04729244485497475
7,11,236.96211671829224,0.97034752368927,0.5669907331466675,0.5491219758987427,0.026370428502559662
7,12,236.25313448905945,0.9503936171531677,0.5246432423591614,0.5320891737937927,0.03167485445737839
7,13,237.8458068370819,0.9998999834060669,0.5564572811126709,0.5044398307800293,0.06124429404735565
7,14,240.5021915435791,0.9475246071815491,0.48831766843795776,0.5472244024276733,0.06304970383644104
7,15,237.21127319335938,0.9516403079032898,0.634060263633728,0.5655807852745056,0.04974532499909401
7,16,234.60326290130615,0.9879496097564697,0.5753523111343384,0.5384395122528076,0.07090223580598831
7,17,236.4700059890747,0.9998999834060669,0.5779457688331604,0.5520196557044983,0.07517682760953903
7,18,234.83007550239563,0.9605875611305237,0.596137285232544,0.5501505136489868,0.04243055731058121
8,1,237.32454323768616,0.9998999834060669,0.5361865758895874,0.5350146293640137,0.06506133079528809
8,2,243.07538175582886,0.9967017769813538,0.508843183517456,0.5109894275665283,0.06795211881399155
8,3,237.0174903869629,0.958977997303009,0.5130000114440918,0.49133482575416565,0.033358462154865265
8,4,234.40530586242676,0.9690748453140259,0.5032146573066711,0.4799920320510864,0.030713755637407303
8,5,240.41675400733948,0.9617217183113098,0.513500452041626,0.4722278118133545,0.03164823353290558
8,6,237.44202041625977,0.9998999834060669,0.48789891600608826,0.5260517001152039,0.06477990746498108
8,7,236.1216640472412,0.9688448905944824,0.5115017294883728,0.5181912779808044,0.036951810121536255
8,8,236.88102555274963,0.9594823122024536,0.49007657170295715,0.47992050647735596,0.03670879080891609
8,9,236.9445207118988,0.9822216033935547,0.49190574884414673,0.49635785818099976,0.05462517961859703
8,10,239.6218364238739,0.9723415374755859,0.47654426097869873,0.4851066470146179,0.06115990877151489
8,11,236.67335438728333,0.976364254951477,0.4755556583404541,0.49046674370765686,0.05714588239789009
8,12,240.5526521205902,0.9998999834060669,0.5250005722045898,0.5463070869445801,0.08295394480228424
8,13,239.58255743980408,0.9168785214424133,0.5179816484451294,0.524747371673584,0.03616654500365257
8,14,235.36729431152344,0.9719197154045105,0.5036481618881226,0.4933111369609833,0.036588773131370544
8,15,238.2189884185791,0.9757965803146362,0.5126688480377197,0.49815505743026733,0.039017803966999054
8,16,243.03055548667908,0.9799720644950867,0.5424150228500366,0.5290024280548096,0.0401470847427845
8,17,233.67673802375793,0.9913121461868286,0.5165024995803833,0.5382757186889648,0.06045748293399811
8,18,236.16378545761108,0.9625274538993835,0.501172661781311,0.5155075192451477,0.027450550347566605
9,1,238.9132478237152,0.9998999834060669,0.5448762774467468,0.5393694043159485,0.10379444062709808
9,2,237.13921642303467,0.9998999834060669,0.572262167930603,0.5516504049301147,0.09588488936424255
9,3,235.6415979862213,0.9619577527046204,0.5153324604034424,0.5089631080627441,0.07465846836566925
9,4,239.676677942276,0.9642530679702759,0.5326934456825256,0.49597617983818054,0.07481682300567627
9,5,236.74327087402344,0.9998999834060669,0.5331749320030212,0.541443943977356,0.1118641048669815
9,6,236.11932682991028,0.9998999834060669,0.5603582859039307,0.5453357696533203,0.11742342263460159
9,7,235.55939078330994,0.9998999834060669,0.5434490442276001,0.5509183406829834,0.09946435689926147
9,8,237.2112593650818,0.9940724968910217,0.5358097553253174,0.5506173968315125,0.1059260219335556
9,9,241.16360640525818,0.9678762555122375,0.5157027840614319,0.5139132142066956,0.07683486491441727
9,10,238.9329550266266,0.9814050793647766,0.5571240782737732,0.5684894323348999,0.11804445087909698
9,11,236.65954899787903,0.9998999834060669,0.5594109892845154,0.548775315284729,0.11236536502838135
9,12,239.475355386734,0.9559922218322754,0.5402225852012634,0.5217674374580383,0.057319965213537216
9,13,245.7145025730133,0.9866973161697388,0.538348913192749,0.515656054019928,0.08684360235929489
9,14,239.01705503463745,0.9998999834060669,0.5559920072555542,0.5093715190887451,0.10141502320766449
9,15,238.7292492389679,0.9506178498268127,0.5284299254417419,0.5362114906311035,0.05899609625339508
9,16,234.41956400871277,0.9841207265853882,0.520816445350647,0.5166633129119873,0.08607980608940125
9,17,234.78859305381775,0.9998999834060669,0.5578952431678772,0.5469623804092407,0.10605509579181671
9,18,238.40375232696533,0.9998999834060669,0.5562330484390259,0.5627142190933228,0.10551969707012177
10,1,237.81025552749634,0.9998999834060669,0.5205489993095398,0.5320821404457092,0.11531738936901093
10,2,235.77214336395264,0.9998999834060669,0.534933865070343,0.5428735613822937,0.13222256302833557
10,3,240.39713549613953,0.9998999834060669,0.5367059111595154,0.5463180541992188,0.13851319253444672
10,4,241.09030055999756,0.9998999834060669,0.537480354309082,0.5306773781776428,0.13599620759487152
10,5,237.79721879959106,0.9998999834060669,0.5407310128211975,0.5418848991394043,0.13731737434864044
10,6,240.04398584365845,0.9998999834060669,0.530709981918335,0.5368788242340088,0.12413138151168823
10,7,238.47581958770752,0.9998999834060669,0.54120272397995,0.5561477541923523,0.13075298070907593
10,8,239.53520488739014,0.9998999834060669,0.5315099358558655,0.5216690301895142,0.11741259694099426
10,9,244.43982601165771,0.9998999834060669,0.5315621495246887,0.5314549207687378,0.11715672165155411
10,10,235.60666608810425,0.9998999834060669,0.5499795079231262,0.5331647992134094,0.12551391124725342
10,11,235.45969152450562,0.9998999834060669,0.543427586555481,0.5414940118789673,0.14037874341011047
10,12,237.86342310905457,0.9998999834060669,0.5253157615661621,0.5270466804504395,0.12079701572656631
10,13,244.30703616142273,0.9998999834060669,0.5318964123725891,0.531737744808197,0.11824991554021835
