k,s,total_time_seconds,best_log_likelihood,P00,P01,P10,P11,full_fit,gradient_gpu,init_cpu_gpu,mcmc_cpu,optimizer_gpu,peak_vram_mb,transfer_pcie,warm_up_mcmc_cpu
4,2,7.579594135284424,-67.22725448608398,0.9842273592948914,0.583634614944458,0.6150650382041931,0.14043450355529785,7.578689336776733,0.9324531555175781,0.0008828639984130859,6.556717395782471,0.042551517486572266,0.0,0.028131961822509766,0.00677490234375
4,3,6.430087566375732,-69.64041366577149,0.9998999834060669,0.6355759501457214,0.2281995415687561,0.43944475054740906,6.4291462898254395,0.929412841796875,0.0009181499481201172,5.411868095397949,0.042135000228881836,0.0,0.028011083602905273,0.005697727203369141
5,1,12.413606405258179,-198.13540802001953,0.9998999834060669,0.5746791958808899,0.6116337776184082,0.1597595065832138,12.412389278411865,0.9969043731689453,0.0011911392211914062,11.321528673171997,0.04299759864807129,0.0,0.02743387222290039,0.011427640914916992
5,2,12.790443897247314,-163.45721130371095,0.9998999834060669,0.7526102662086487,0.5507367849349976,0.08307718485593796,12.789259910583496,0.9916014671325684,0.001161336898803711,11.703449249267578,0.04267406463623047,0.0,0.027210235595703125,0.012290716171264648
5,3,11.826773166656494,-164.70525512695312,0.9998999834060669,0.564475953578949,0.6245304942131042,0.09482288360595703,11.825590372085571,0.9980025291442871,0.0011615753173828125,10.734329223632812,0.04285717010498047,0.0,0.027471065521240234,0.010912418365478516
6,1,4.915137052536011,-28.4071252822876,0.9998999834060669,0.4095299243927002,0.47143664956092834,9.999999747378752e-05,4.914300203323364,0.9296891689300537,0.0008144378662109375,3.8986685276031494,0.04240107536315918,0.0,0.02683854103088379,0.004720211029052734
6,2,4.46404504776001,-16.97870216369629,0.8376019597053528,0.9193474650382996,0.598268449306488,9.999999747378752e-05,4.46324348449707,0.8667254447937012,0.0007798671722412109,3.5105040073394775,0.04270315170288086,0.0,0.02675485610961914,0.00452113151550293
6,3,4.973092317581177,-34.23427734375,0.8903007507324219,0.4197244644165039,0.4949674606323242,0.021255729719996452,4.972252368927002,0.9349255561828613,0.0008187294006347656,3.9503307342529297,0.0437321662902832,0.0,0.026954174041748047,0.004164457321166992
7,1,13.969487190246582,-267.11187438964845,0.9562466740608215,0.6462847590446472,0.45857545733451843,0.03076539933681488,13.96807336807251,1.0568573474884033,0.001392364501953125,12.813003540039062,0.04388165473937988,0.0,0.028017759323120117,0.01409459114074707
7,2,13.948798418045044,-263.25287170410155,0.9968176484107971,0.6563653349876404,0.426876425743103,0.03534182906150818,13.947439908981323,1.0517981052398682,0.0013365745544433594,12.799149990081787,0.0433497428894043,0.0,0.027895450592041016,0.013101577758789062
7,3,14.107935667037964,-244.7392822265625,0.9495646953582764,0.6608685255050659,0.4895830750465393,0.040774863213300705,14.10661506652832,1.056251049041748,0.0012984275817871094,12.952924966812134,0.04325723648071289,0.0,0.028087377548217773,0.013940095901489258
8,1,12.805603742599487,-3470.890087890625,0.9786202311515808,0.6131744384765625,0.5904654860496521,0.19379039108753204,12.800535440444946,1.2893238067626953,0.005045175552368164,11.413139343261719,0.04283785820007324,0.0,0.03165173530578613,0.01148080825805664
8,2,12.604308366775513,-3400.9433349609376,0.929397702217102,0.5958303809165955,0.5745289921760559,0.12461354583501816,12.599115371704102,1.2896852493286133,0.005170106887817383,11.211909770965576,0.04278063774108887,0.0,0.031365156173706055,0.011233091354370117
8,3,12.745300769805908,-3398.661669921875,0.9730086922645569,0.6169467568397522,0.5900624394416809,0.17247605323791504,12.740265369415283,1.2886250019073486,0.00501251220703125,11.354750394821167,0.04210686683654785,0.0,0.031046628952026367,0.011791706085205078
9,1,16.33410954475403,-8940.46025390625,0.9608743786811829,0.6152272820472717,0.5895079374313354,0.19127725064754486,16.323343515396118,1.4330215454101562,0.010740041732788086,14.787460088729858,0.04376339912414551,0.0,0.031954288482666016,0.014868736267089844
9,2,16.950984477996826,-8880.64697265625,0.9700656533241272,0.6203545928001404,0.5881736278533936,0.18426649272441864,16.94014811515808,1.4375102519989014,0.01081085205078125,15.397709846496582,0.04431939125061035,0.0,0.03222322463989258,0.015798568725585938
9,3,16.908354997634888,-8921.44794921875,0.9754584431648254,0.6172512173652649,0.5826274156570435,0.18968415260314941,16.897566556930542,1.4461493492126465,0.010762929916381836,15.346434354782104,0.04367685317993164,0.0,0.03298592567443848,0.015915632247924805
10,1,25.52238178253174,-22797.836328125,0.972335934638977,0.6129733920097351,0.5881658792495728,0.1930875927209854,25.49916911125183,1.9844081401824951,0.023183345794677734,23.388160467147827,0.05187416076660156,0.0,0.03754687309265137,0.02245306968688965
10,2,25.364032983779907,-22781.6095703125,0.9679923057556152,0.6174808740615845,0.5816875696182251,0.1958855390548706,25.33974599838257,2.019787311553955,0.024259090423583984,23.194566249847412,0.05195021629333496,0.0,0.036855220794677734,0.021595239639282227
10,3,25.46865177154541,-22707.5138671875,0.969894289970398,0.6170036792755127,0.5826913118362427,0.1934836208820343,25.33229422569275,2.016449451446533,0.13632965087890625,23.191016912460327,0.051833152770996094,0.0,0.036904096603393555,0.02155160903930664
11,1,38.44764184951782,-57538.26015625,0.9800670742988586,0.5944303274154663,0.5336642861366272,0.20488734543323517,38.39596462249756,2.614731788635254,0.051644325256347656,35.63542675971985,0.05468440055847168,0.0,0.03944849967956543,0.03594040870666504
11,2,38.02759838104248,-57820.91640625,0.9742177724838257,0.5974134206771851,0.5342653393745422,0.20667481422424316,37.97488260269165,2.5551695823669434,0.05268383026123047,35.2744402885437,0.05579257011413574,0.0,0.03831005096435547,0.035982370376586914
11,3,38.16313648223877,-57523.733203125,0.9757734537124634,0.5945103168487549,0.5423351526260376,0.2002425342798233,38.11026430130005,2.553280830383301,0.0528409481048584,35.411431312561035,0.055175065994262695,0.0,0.038680315017700195,0.036565542221069336
12,1,57.169963359832764,-143457.68125,0.9844458103179932,0.5912578105926514,0.5325645804405212,0.20499014854431152,57.045273542404175,3.8043460845947266,0.1246492862701416,53.064926862716675,0.05765414237976074,0.0,0.0461428165435791,0.055327415466308594
12,2,56.338075160980225,-144416.640625,0.9773246049880981,0.5914057493209839,0.5337627530097961,0.20799900591373444,56.21788811683655,3.8659825325012207,0.120147705078125,52.178428173065186,0.05776166915893555,0.0,0.045908451080322266,0.05348396301269531
12,3,56.475167751312256,-144464.6453125,0.9755563139915466,0.5963107943534851,0.5351640582084656,0.20583654940128326,56.35157656669617,3.8136894702911377,0.1235513687133789,52.36440563201904,0.05737495422363281,0.0,0.045804738998413086,0.05420947074890137
13,1,84.13058710098267,-354982.403125,0.9856597185134888,0.5856723189353943,0.5261645913124084,0.20956850051879883,83.67864227294922,6.9260852336883545,0.451892614364624,76.53122925758362,0.058571577072143555,0.0,0.06409096717834473,0.08040857315063477
13,2,82.75894904136658,-355391.49375,0.9892521500587463,0.5854270458221436,0.5238922238349915,0.2130008488893509,82.48869013786316,6.537579298019409,0.27021098136901855,75.73109722137451,0.0587000846862793,0.0,0.06268811225891113,0.08087635040283203
13,3,83.9506459236145,-354740.965625,0.9890819787979126,0.5856912732124329,0.5264500975608826,0.2105998396873474,83.51930832862854,6.74363112449646,0.43128442764282227,76.55563139915466,0.058493614196777344,0.0,0.06165599822998047,0.08210539817810059
14,1,128.57352423667908,-886954.2,0.99566251039505,0.5784174799919128,0.5179832577705383,0.22149129211902618,127.72431015968323,17.419684171676636,0.8491389751434326,110.01506662368774,0.05907797813415527,0.0,0.09117865562438965,0.1193392276763916
14,2,127.49057817459106,-886843.63125,0.9964920878410339,0.5790796875953674,0.5177655220031738,0.2214166671037674,126.81137990951538,15.646243572235107,0.6791198253631592,110.8800094127655,0.05975937843322754,0.0,0.08422636985778809,0.12102580070495605
14,3,125.17918229103088,-885633.28125,0.9957998394966125,0.5793690085411072,0.5187700986862183,0.21913808584213257,124.19465947151184,12.996540546417236,0.9844434261322021,110.9064621925354,0.059278011322021484,0.0,0.09333372116088867,0.11938023567199707
15,1,237.1280598640442,-2179206.125,0.9996083378791809,0.5761092901229858,0.5145929455757141,0.2241220623254776,235.26724481582642,75.9982340335846,1.860689401626587,158.78069949150085,0.06337451934814453,0.0,0.22965359687805176,0.17128586769104004
15,2,198.59220218658447,-2177969.8,0.9998999834060669,0.5755290389060974,0.5144525170326233,0.22430813312530518,196.4071650505066,37.22886943817139,2.184913158416748,158.6762011051178,0.06257796287536621,0.0,0.2399287223815918,0.17568111419677734
15,3,187.49885535240173,-2178560.55,0.9981870055198669,0.5771432518959045,0.5167848467826843,0.22283825278282166,185.40580010414124,26.783411026000977,2.092925548553467,158.20592045783997,0.060347557067871094,0.0,0.15758061408996582,0.17664194107055664
16,1,228.16598439216614,-5354276.25,0.9998999834060669,0.5737496614456177,0.5128499269485474,0.2290513962507248,223.37537145614624,98.0532476902008,4.790359973907471,124.65446853637695,0.06314802169799805,0.0,0.4549877643585205,0.12415313720703125
16,2,212.05440187454224,-5356716.75,0.9998999834060669,0.5729086399078369,0.5123475193977356,0.22854307293891907,207.0347330570221,82.68072628974915,5.019428968429565,123.87601399421692,0.06347227096557617,0.0,0.2631075382232666,0.12550067901611328
16,3,215.07904148101807,-5353630.65,0.9998999834060669,0.5730913877487183,0.5119825601577759,0.2280392199754715,209.86310935020447,83.19493889808655,5.215698003768921,126.1737687587738,0.06375455856323242,0.0,0.27813148498535156,0.12669920921325684
17,1,583.3359861373901,-13101716.4,0.9998999834060669,0.5712801814079285,0.509880006313324,0.23718944191932678,569.7729296684265,369.834805727005,13.562119960784912,196.10376071929932,0.06989550590515137,0.0,0.7953941822052002,2.9364023208618164
17,2,513.4775443077087,-13100946.8,0.9998999834060669,0.5687688589096069,0.5074108242988586,0.23389612138271332,501.60984206199646,304.24003505706787,11.866888523101807,196.7278220653534,0.06440258026123047,0.0,0.34612607955932617,0.2050154209136963
17,3,512.9402849674225,-13102966.2,0.9998999834060669,0.5685229897499084,0.5075445175170898,0.23405206203460693,499.9847505092621,302.1957883834839,12.954662322998047,197.13594031333923,0.06333065032958984,0.0,0.35486340522766113,0.2082223892211914
18,1,1491.8520798683167,-32037709.8,0.9998999834060669,0.5643754601478577,0.502806544303894,0.2431580275297165,1460.6990597248077,1158.5462057590485,31.150736808776855,300.6417381763458,0.0660858154296875,0.0,1.0923583507537842,0.3251786231994629
18,2,1246.565880060196,-32036953.0,0.9998999834060669,0.5644927620887756,0.5027772188186646,0.2433043271303177,1214.6483817100525,910.8708529472351,31.915066480636597,302.86157727241516,0.061951398849487305,0.0,0.5069682598114014,0.320758581161499
18,3,1258.8979601860046,-32042608.4,0.9998999834060669,0.565420925617218,0.5037679672241211,0.24413025379180908,1226.0491268634796,923.7494742870331,32.846468925476074,300.8604328632355,0.05933713912963867,0.0,1.0358531475067139,0.318326473236084
