k,s,total_time_seconds,best_log_likelihood,peak_vram_mb,P00,P01,P10,P11,full_fit,gradient_gpu,init_cpu_gpu,mcmc_cpu,optimizer_gpu,peak_vram_mb,transfer_pcie,warm_up_mcmc_cpu
3,10,6.675382137298584,-21.615625,0.0283203125,0.9990234375,0.482177734375,0.311767578125,0.33984375,6.673391580581665,3.151928424835205,0.001760244369506836,3.068922519683838,0.10181379318237305,0.0283203125,0.26639270782470703,0.003032684326171875
4,1,11.552888870239258,-75.18125,0.0283203125,0.78466796875,0.88720703125,0.66015625,0.117919921875,11.551552534103394,3.4660208225250244,0.0011172294616699219,7.6492791175842285,0.10114455223083496,0.0283203125,0.25530409812927246,0.008392810821533203
4,2,10.972166061401367,-67.040625,0.0283203125,0.98974609375,0.59814453125,0.61083984375,0.12261962890625,10.970014572143555,3.4436113834381104,0.001886129379272461,7.093460321426392,0.10054540634155273,0.0283203125,0.25938963890075684,0.007219552993774414
4,3,9.703104257583618,-69.259375,0.0283203125,0.9990234375,0.64111328125,0.19580078125,0.47021484375,9.70095157623291,3.4157304763793945,0.0019378662109375,5.8869006633758545,0.10106730461120605,0.0283203125,0.22182536125183105,0.006071805953979492
4,4,13.018537521362305,-85.74375,0.0283203125,0.9990234375,0.59130859375,0.56396484375,0.31591796875,13.01717209815979,3.4152932167053223,0.0011665821075439453,9.216263055801392,0.10000252723693848,0.0283203125,0.2112894058227539,0.009023666381835938
4,5,12.159936904907227,-75.26875,0.0283203125,0.9990234375,0.7412109375,0.51513671875,0.1729736328125,12.157902956008911,3.4218008518218994,0.0018069744110107422,8.335312366485596,0.10050582885742188,0.0283203125,0.22052597999572754,0.00836324691772461
4,6,11.595791578292847,-60.803125,0.0283203125,0.9990234375,0.54345703125,0.67138671875,0.10693359375,11.593645095825195,3.421165943145752,0.0019407272338867188,7.764772176742554,0.09885382652282715,0.0283203125,0.23086309432983398,0.00801396369934082
4,7,11.328516960144043,-56.66875,0.0283203125,0.9990234375,0.437255859375,0.71875,0.1123046875,11.327253341674805,3.4137752056121826,0.001031637191772461,7.492327690124512,0.09960412979125977,0.0283203125,0.24332261085510254,0.007633686065673828
4,8,10.878349304199219,-53.39375,0.0283203125,0.9990234375,0.76171875,0.48828125,0.052001953125,10.876129627227783,3.323028326034546,0.001971006393432617,7.098521947860718,0.09772706031799316,0.0283203125,0.2756333351135254,0.007561206817626953
4,9,10.476498126983643,-62.3625,0.0283203125,0.87939453125,0.76318359375,0.493896484375,0.11383056640625,10.474152326583862,3.434591293334961,0.0021429061889648438,6.606581926345825,0.10069513320922852,0.0283203125,0.2515678405761719,0.00660252571105957
