k,sample,time,best_ll,theta_0,theta_1,theta_2,theta_3
7,28,63.88,-278.3168,0.9999,0.24,0.3147,0.4737
7,29,61.62,-284.7774,0.9916,0.2334,0.3196,0.4644
7,30,68.52,-306.8063,0.9764,0.2553,0.4034,0.4079
8,1,76.7,-1811.6119,0.9999,0.2792,0.363,0.4503
8,2,78.34,-1786.7992,0.9999,0.283,0.3505,0.4577
8,3,78.63,-1824.7049,0.9999,0.2958,0.3593,0.4388
8,4,76.16,-1801.4693,0.9999,0.2795,0.3503,0.4627
8,5,76.97,-1782.8991,0.9999,0.272,0.3269,0.463
8,6,73.49,-1791.3272,0.9999,0.2804,0.3492,0.4629
8,7,77.51,-1825.3308,0.9999,0.2931,0.3641,0.4461
8,8,79.0,-1796.2282,0.9999,0.2902,0.3559,0.4407
8,9,73.24,-1784.0031,0.9999,0.2905,0.3536,0.4482
8,10,79.87,-1799.0026,0.9999,0.3055,0.3642,0.419
8,11,75.3,-1802.1907,0.9999,0.3,0.3611,0.4241
8,12,77.4,-1790.7865,0.9999,0.2832,0.3533,0.4279
8,13,76.43,-1753.6266,0.9999,0.2928,0.3418,0.4509
8,14,78.07,-1788.8254,0.9999,0.2826,0.3596,0.4403
8,15,77.84,-1768.743,0.9999,0.2862,0.3443,0.4524
8,16,77.37,-1797.1349,0.9999,0.2801,0.3438,0.4615
8,17,77.1,-1823.3918,0.9999,0.3025,0.3717,0.4173
8,18,76.64,-1783.3124,0.9999,0.2891,0.3446,0.4507
8,19,76.25,-1747.5911,0.9999,0.2662,0.3388,0.4764
8,20,81.94,-1824.0723,0.9999,0.2943,0.373,0.4228
8,21,77.87,-1791.4007,0.9999,0.2856,0.3482,0.4564
8,22,80.79,-1790.7505,0.9999,0.3029,0.3632,0.4159
8,23,83.9,-1834.7669,0.9999,0.3143,0.3788,0.4015
8,24,75.09,-1777.6455,0.9999,0.2683,0.338,0.4816
8,25,74.88,-1720.9665,0.9999,0.2716,0.3348,0.477
8,26,76.96,-1788.3152,0.9999,0.2871,0.3468,0.4529
8,27,77.71,-1761.8087,0.9999,0.3016,0.349,0.4385
8,28,73.45,-1765.1793,0.9999,0.286,0.3315,0.4685
8,29,69.99,-1752.3426,0.9999,0.2821,0.3462,0.4591
8,30,73.86,-1811.2358,0.9999,0.2886,0.3644,0.4347
9,1,155.76,-10010.2217,0.9688,0.3937,0.4486,0.5153
9,2,155.15,-9906.6954,0.9634,0.3849,0.4314,0.514
9,3,147.86,-9823.4188,0.9741,0.3691,0.4219,0.5328
9,4,157.33,-9805.29,0.974,0.3814,0.4212,0.5416
9,5,148.77,-9924.454,0.9582,0.3858,0.4369,0.5135
9,6,162.49,-10016.8173,0.9512,0.4036,0.4573,0.5161
9,7,136.39,-9708.8465,0.9943,0.3629,0.4157,0.5538
9,8,135.22,-9641.5287,0.9998,0.3662,0.414,0.5437
9,9,150.54,-9896.9881,0.9622,0.3817,0.4326,0.5214
9,10,157.02,-10018.568,0.9481,0.3896,0.4325,0.5282
9,11,150.62,-9922.5688,0.9605,0.3875,0.4328,0.5169
9,12,142.27,-9746.1626,0.9948,0.3628,0.4187,0.542
9,13,141.77,-9794.9961,0.9801,0.3673,0.4103,0.5346
9,14,158.34,-10042.278,0.9562,0.3947,0.4419,0.5066
9,15,147.81,-9802.1199,0.9744,0.368,0.4119,0.5295
9,16,150.4,-9878.7083,0.9733,0.3902,0.4406,0.5245
10,1,191.72,-25631.2081,0.9506,0.4098,0.4691,0.5021
10,2,184.75,-25430.1371,0.9537,0.3975,0.4551,0.5185
10,3,174.26,-25106.6657,0.97,0.3869,0.4388,0.5329
10,4,178.04,-25434.9031,0.9617,0.3924,0.4474,0.527
10,5,174.12,-25261.0453,0.9676,0.3876,0.4432,0.5333
10,6,172.38,-25184.0682,0.967,0.3928,0.4505,0.5159
10,7,175.94,-25279.8834,0.9661,0.3896,0.451,0.5197
10,8,175.35,-25320.5313,0.9628,0.3962,0.4497,0.5153
10,9,179.91,-25488.4279,0.9531,0.4007,0.4512,0.5183
10,10,175.23,-25380.8684,0.962,0.3926,0.4492,0.5197
10,11,171.39,-25202.1719,0.9764,0.3925,0.4441,0.5221
10,12,178.08,-25298.1788,0.9661,0.392,0.4533,0.5169
10,13,178.11,-25396.3026,0.9606,0.3928,0.4527,0.5162
11,1,222.01,-62118.3756,0.9367,0.4196,0.4859,0.481
11,2,219.07,-61583.9124,0.9438,0.413,0.474,0.4944
