k,s,total_time_seconds,best_log_likelihood,P00,P01,P10,P11,full_fit,gradient_gpu,init_cpu_gpu,mcmc_cpu,optimizer_gpu,transfer_pcie,warm_up_mcmc_cpu
9,23,10.497641324996948,-5589.032568359375,0.951428234577179,0.2647191286087036,0.30408337712287903,0.653887927532196,10.48935055732727,4.436176300048828,0.008255958557128906,5.567509412765503,0.08535242080688477,0.3059542179107666,0.005625486373901367
9,24,10.631459712982178,-5613.2017578125,0.9513082504272461,0.2738301753997803,0.3103225827217102,0.6373493075370789,10.622590780258179,4.40947699546814,0.008840322494506836,5.726243257522583,0.08383703231811523,0.31428098678588867,0.0057451725006103516
9,25,10.151588201522827,-5547.151318359375,0.953178882598877,0.25432610511779785,0.3091978132724762,0.654123842716217,10.142616033554077,4.066461801528931,0.008939027786254883,5.574878692626953,0.0831906795501709,0.3253042697906494,0.005713224411010742
9,26,10.501278638839722,-5396.86826171875,0.9758493900299072,0.2423126995563507,0.29501765966415405,0.6627879738807678,10.492313623428345,4.388163089752197,0.008938312530517578,5.646013259887695,0.08438754081726074,0.27150678634643555,0.0057141780853271484
9,27,10.508062362670898,-5396.16748046875,0.9678641557693481,0.2417481243610382,0.3109607398509979,0.6522204279899597,10.499868154525757,4.433993577957153,0.008166790008544922,5.591875314712524,0.08357882499694824,0.2977869510650635,0.00567936897277832
9,28,10.36969804763794,-5531.958837890625,0.9621541500091553,0.26576897501945496,0.3076334595680237,0.6371695399284363,10.360934972763062,4.1143786907196045,0.008726119995117188,5.770834922790527,0.08333063125610352,0.2980461120605469,0.005928993225097656
9,29,10.499834537506104,-5409.734716796875,0.9706616997718811,0.25473061203956604,0.3010466992855072,0.6447625160217285,10.49095106124878,4.36006760597229,0.008856058120727539,5.647592067718506,0.0855097770690918,0.3047022819519043,0.005686759948730469
9,30,10.423543930053711,-5432.96328125,0.9558911919593811,0.2430652529001236,0.2809695303440094,0.6966221928596497,10.414602518081665,4.4245288372039795,0.008914947509765625,5.505192518234253,0.08489823341369629,0.3043098449707031,0.005589723587036133
10,1,12.141839504241943,-13664.794921875,0.9281824827194214,0.28310471773147583,0.3247089385986328,0.6373010277748108,12.124398469924927,4.52781867980957,0.01741194725036621,7.131356239318848,0.08578705787658691,0.27579402923583984,0.007376909255981445
10,2,12.1499764919281,-13732.64755859375,0.9311091899871826,0.27366188168525696,0.32093602418899536,0.6497422456741333,12.132965326309204,4.539652109146118,0.016972780227661133,7.133206367492676,0.08680129051208496,0.2767765522003174,0.007376432418823242
10,3,12.103523015975952,-13909.51484375,0.9319730401039124,0.2976779043674469,0.3350659906864166,0.609196662902832,12.086795330047607,4.240507364273071,0.016688823699951172,7.37073016166687,0.08426570892333984,0.2826230525970459,0.008008241653442383
10,4,12.291866540908813,-14243.94765625,0.9048240184783936,0.31731700897216797,0.3366643488407135,0.6155408620834351,12.275143146514893,4.593343734741211,0.01669454574584961,7.2461395263671875,0.08647894859313965,0.25036168098449707,0.007415294647216797
10,5,12.270398616790771,-13883.657421875,0.9197880625724792,0.30026331543922424,0.3192824125289917,0.6342353224754333,12.25347089767456,4.669270277023315,0.016889333724975586,7.137977361679077,0.08491873741149902,0.2692084312438965,0.00739598274230957
10,6,12.464087963104248,-14036.796484375,0.9171378016471863,0.2987971901893616,0.3253336548805237,0.6341221332550049,12.44763708114624,4.732078313827515,0.01642155647277832,7.268915891647339,0.08860206604003906,0.26291322708129883,0.007380008697509766
10,7,12.390886545181274,-13812.798046875,0.9329038262367249,0.3016093373298645,0.31705185770988464,0.6228360533714294,12.373583555221558,4.6553308963775635,0.01727437973022461,7.289180278778076,0.08554935455322266,0.24824786186218262,0.007493495941162109
10,8,12.321037769317627,-13862.5572265625,0.9241618514060974,0.2939751446247101,0.32544100284576416,0.6318854689598083,12.303390979766846,4.651554822921753,0.017610788345336914,7.208936929702759,0.0849306583404541,0.26140832901000977,0.00745844841003418
10,9,12.044846296310425,-13858.150390625,0.9265621304512024,0.29282015562057495,0.32579609751701355,0.6298572421073914,12.027732133865356,4.391122817993164,0.017081022262573242,7.192523002624512,0.08314347267150879,0.2573261260986328,0.007497310638427734
10,10,11.947568893432617,-13870.9603515625,0.9197978973388672,0.2970503270626068,0.33238542079925537,0.6246545910835266,11.930777788162231,4.277027130126953,0.016760826110839844,7.194899320602417,0.08282685279846191,0.28106212615966797,0.007400989532470703
10,11,12.347009897232056,-13941.8759765625,0.9264936447143555,0.30406057834625244,0.32862526178359985,0.6155917644500732,12.330769777297974,4.5586488246917725,0.016211748123168945,7.3248209953308105,0.08489799499511719,0.265810489654541,0.007631063461303711
